@relation all_data_pacman-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-precision6

@attribute position-x {'\'(-inf-5.8]\'','\'(5.8-10.6]\'','\'(10.6-15.4]\'','\'(15.4-20.2]\'','\'(20.2-inf)\''}
@attribute position-y {'\'(-inf-4.4]\'','\'(4.4-7.8]\'','\'(7.8-11.2]\'','\'(11.2-14.6]\'','\'(14.6-inf)\''}
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas {'\'All\''}
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-inf)\''}
@attribute positiong1-y {'\'(-inf-4.6]\'','\'(4.6-8.2]\'','\'(8.2-11.8]\'','\'(11.8-15.4]\'','\'(15.4-inf)\''}
@attribute positiong2-x {'\'(-inf-4]\'','\'(4-7]\'','\'(7-10]\'','\'(10-13]\'','\'(13-inf)\''}
@attribute positiong2-y {'\'(-inf-3.8]\'','\'(3.8-6.6]\'','\'(6.6-9.4]\'','\'(9.4-12.2]\'','\'(12.2-inf)\''}
@attribute positiong3-x {'\'(-inf-5]\'','\'(5-9]\'','\'(9-13]\'','\'(13-17]\'','\'(17-inf)\''}
@attribute positiong3-y {'\'(-inf-3.8]\'','\'(3.8-6.6]\'','\'(6.6-9.4]\'','\'(9.4-12.2]\'','\'(12.2-inf)\''}
@attribute positiong4-x {'\'(-inf-6.6]\'','\'(6.6-11.2]\'','\'(11.2-15.8]\'','\'(15.8-20.4]\'','\'(20.4-inf)\''}
@attribute positiong4-y {'\'(-inf-3.8]\'','\'(3.8-6.6]\'','\'(6.6-9.4]\'','\'(9.4-12.2]\'','\'(12.2-inf)\''}
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG2 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG3 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG4 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute comida {'\'(-inf-45.8]\'','\'(45.8-91.6]\'','\'(91.6-137.4]\'','\'(137.4-183.2]\'','\'(183.2-inf)\''}
@attribute Dcomida {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute score {'\'(-inf-566.8]\'','\'(566.8-1160.6]\'','\'(1160.6-1754.4]\'','\'(1754.4-2348.2]\'','\'(2348.2-inf)\''}
@attribute score_next {'\'(-inf-626.6]\'','\'(626.6-1280.2]\'','\'(1280.2-1933.8]\'','\'(1933.8-2587.4]\'','\'(2587.4-inf)\''}
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
'\'(-inf-5.8]\'','\'(11.2-14.6]\'',Stop,East,North,South,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(11.2-14.6]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(11.2-14.6]\'',Stop,East,North,South,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',Stop,North,South,None,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',Stop,East,North,South,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,South,None,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,True,True,True,'\'(3.4-5.8]\'','\'(8.2-11.8]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(-inf-5.8]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,None,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',Stop,East,North,South,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(5.8-10.6]\'','\'(-inf-4.4]\'',Stop,East,North,South,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(5.8-10.6]\'','\'(-inf-4.4]\'',West,Stop,East,North,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
'\'(5.8-10.6]\'','\'(-inf-4.4]\'',West,Stop,East,North,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(5.8-10.6]\'','\'(-inf-4.4]\'',West,Stop,East,North,None,'\'All\'',False,False,True,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(10.6-15.4]\'','\'(-inf-4.4]\'',West,Stop,North,None,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(10-13]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(10.6-15.4]\'','\'(-inf-4.4]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',North
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,None,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',East
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',Stop,East,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3.4]\'','\'(-inf-4.6]\'','\'(-inf-4]\'','\'(-inf-3.8]\'','\'(13-17]\'','\'(3.8-6.6]\'','\'(20.4-inf)\'','\'(6.6-9.4]\'',Stop,Stop,Stop,Stop,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-45.8]\'','\'(7999.4-inf)\'','\'(-inf-566.8]\'','\'(-inf-626.6]\'',South
